Année,Region,Pays,ISO3,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2024,Afrique,Afrique,,346,137,8808.0,"306,2"
2024,Amérique Centrale,Autre Amérique Centrale,,277,103,4048.0,"171,4"
2024,Amérique Centrale,Mexique,MEX,943,172,10776.0,"134,5"
2024,Amérique du Nord,Canada,CAN,8903,3970,125110.0,"174,9"
2024,Amérique du Nord,Hawaii,USA,3554,541,39154.0,"132,6"
2024,Amérique du Nord,USA,USA,100372,24309,977663.0,"117,7"
2024,Amérique du Sud,Argentine,ARG,325,82,5070.0,"193,2"
2024,Amérique du Sud,Autre Amérique du Sud,,335,83,5450.0,194
2024,Amérique du Sud,Brésil,BRA,871,194,13049.0,"195,6"
2024,Amérique du Sud,Chili,CHL,299,48,5032.0,"201,3"
2024,Asie,Autre Asie,,70,22,2469.0,"398,5"
2024,Asie,Chine,CHN,2036,183,17114.0,"104,2"
2024,Asie,Corée du Sud,KOR,605,25,5447.0,"109,3"
2024,Asie,Hong Kong,HKG,260,43,3087.0,"140,6"
2024,Asie,Inde,IND,170,36,3226.0,"249,1"
2024,Asie,Indonésie,IDN,231,145,5065.0,"261,8"
2024,Asie,Japon,JPN,3592,161,27043.0,"98,6"
2024,Asie,Malaisie,MYS,114,14,2482.0,"358,8"
2024,Asie,Philippines,PHL,368,280,3492.0,"122,6"
2024,Asie,Singapour,SGP,302,62,3848.0,"147,8"
2024,Asie,Taïwan,TWN,269,28,3158.0,"138,7"
2024,Asie,Thaïlande,THA,130,24,3673.0,"382,3"
2024,Europe (hors France),Allemagne,DEU,5532,1663,97014.0,211
2024,Europe (hors France),Autre Europe,,4140,1024,59001.0,"171,3"
2024,Europe (hors France),Autriche,AUT,859,293,16260.0,"229,8"
2024,Europe (hors France),Belgique,BEL,2071,543,43141.0,"246,7"
2024,Europe (hors France),Danemark,DNK,1231,828,54407.0,"538,7"
2024,Europe (hors France),Espagne,ESP,2608,359,35670.0,"167,3"
2024,Europe (hors France),Finlande,FIN,161,22,2331.0,"176,3"
2024,Europe (hors France),Italie,ITA,6267,508,74415.0,"158,8"
2024,Europe (hors France),Luxembourg,LUX,283,73,5409.0,"237,5"
2024,Europe (hors France),Norvège,NOR,308,90,6370.0,"261,1"
2024,Europe (hors France),Pays-Bas,NLD,808,207,15014.0,"221,1"
2024,Europe (hors France),Portugal,PRT,512,96,10432.0,"249,8"
2024,Europe (hors France),Royaume-Uni,GBR,4729,1934,64990.0,"168,7"
2024,Europe (hors France),Russie,RUS,233,101,3456.0,"183,9"
2024,Europe (hors France),Suède,SWE,405,126,6710.0,"204,9"
2024,Europe (hors France),Suisse,CHE,3953,1036,78015.0,"238,4"
2024,France,France,FRA,80969,8274,2132125.0,"324,8"
2024,Pacifique,Australie,AUS,7913,2694,101429.0,"151,5"
2024,Pacifique,Autre Pacifique,,537,7,10263.0,"243,1"
2024,Pacifique,Cook,COK,538,14,5602.0,"119,5"
2024,Pacifique,Fidji,FJI,243,4,2733.0,"130,8"
