Mois,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2025-09-01,28274,4956,468342,"16,56"
2025-08-01,25076,5239,413249,"16,48"
2025-07-01,30990,5390,568967,"18,36"
2025-06-01,26137,4161,449080,"17,18"
2025-05-01,24316,4653,397995,"16,37"
2025-04-01,25086,4209,381651,"15,21"
2025-03-01,23002,4468,349643,"15,2"
2025-02-01,17298,5242,274106,"15,85"
2025-01-01,14105,2779,256179,"18,16"
2024-12-01,22198,3487,362185,"16,32"
2024-11-01,20831,4775,317381,"15,24"
2024-10-01,24056,4571,403439,"16,77"
2024-09-01,23633,4139,414941,"17,56"
2024-08-01,23313,3871,386774,"16,59"
2024-07-01,26470,3858,462767,"17,48"
2024-06-01,23363,4091,406676,"17,41"
2024-05-01,20400,4120,335736,"16,46"
2024-04-01,23420,5288,366189,"15,64"
2024-03-01,23147,4396,328845,"14,21"
2024-02-01,18310,5555,269382,"14,71"
2024-01-01,14625,3960,253734,"17,35"
2023-12-01,23101,3577,359236,"15,55"
2023-11-01,20124,3736,294202,"14,62"
2023-10-01,23188,4269,374555,"16,15"
2023-09-01,24476,4544,414975,"16,95"
2023-08-01,21830,3192,350195,"16,04"
2023-07-01,26512,3641,464610,"17,52"
2023-06-01,23972,3729,412820,"17,22"
2023-05-01,20073,3751,321405,"16,01"
2023-04-01,23349,5164,343948,"14,73"
2023-03-01,22455,4180,318284,"14,17"
2023-02-01,17510,2068,237112,"13,54"
2023-01-01,15223,1964,234598,"15,41"
2022-12-01,22249,3621,359129,"16,14"
2022-11-01,20183,5419,297183,"14,72"
2022-10-01,23563,5252,389328,"16,52"
2022-09-01,21860,3478,380321,"17,4"
2022-08-01,19833,2954,339279,"17,11"
2022-07-01,24359,3889,478884,"19,66"
2022-06-01,19511,2986,363252,"18,62"
2022-05-01,18933,4185,300157,"15,85"
2022-04-01,18159,3495,291169,"16,03"
2022-03-01,14856,4362,242985,"16,36"
2022-02-01,8982,1714,164422,"18,31"
2022-01-01,6262,1255,127569,"20,37"
2021-12-01,12321,1996,241798,"19,62"
2021-11-01,10320,2018,185317,"17,96"
2021-10-01,12346,2385,245334,"19,87"
2021-09-01,6739,740,142807,"21,19"
2021-08-01,9481,1237,178439,"18,82"
2021-07-01,14331,1826,298464,"20,83"
2021-06-01,8552,986,177759,"20,79"
2021-05-01,3368,508,66435,"19,73"
2021-04-01,347,62,28550,0
2021-03-01,293,50,24415,0
2021-02-01,524,28,25170,0
2021-01-01,3924,493,112453,"28,66"
2020-12-01,6500,565,136866,"21,06"
2020-11-01,4486,509,86838,"19,36"
2020-10-01,8976,1139,196638,"21,91"
2020-09-01,7680,939,160960,"20,96"
2020-08-01,7834,986,162750,"20,77"
2020-07-01,4605,605,133063,"28,9"
2020-03-01,7491,1593,121886,"16,27"
2020-02-01,15497,2712,203071,"13,1"
2020-01-01,13948,2917,197211,"14,14"
2019-12-01,18838,3292,290931,"15,44"
2019-11-01,19185,3885,270270,"14,09"
2019-10-01,21170,3676,324175,"15,31"
2019-09-01,20305,2579,306242,"15,08"
2019-08-01,21864,3659,328379,"15,02"
2019-07-01,25361,3825,440925,"17,39"
2019-06-01,21487,3398,339617,"15,81"
2019-05-01,18749,3273,281809,"15,03"
2019-04-01,19240,3516,283629,"14,74"
2019-03-01,18684,3830,246609,"13,2"
2019-02-01,16752,5420,211159,"12,61"
2019-01-01,15007,4872,211109,"14,07"
2018-12-01,17737,2625,271736,"15,32"
2018-11-01,17241,3585,224144,13
2018-10-01,20661,4945,302263,"14,63"
2018-09-01,19809,3144,299222,"15,11"
2018-08-01,20110,3510,293715,"14,61"
2018-07-01,24168,3448,400786,"16,58"
2018-06-01,19372,3465,314782,"16,25"
2018-05-01,16559,3305,244631,"14,77"
2018-04-01,15955,2806,228951,"14,35"
2018-03-01,17452,4782,220372,"12,63"
2018-02-01,15747,5388,199226,"12,65"
2018-01-01,11457,2628,168551,"14,71"
2017-12-01,15030,2432,229021,"15,24"
2017-11-01,15449,2895,205189,"13,28"
2017-10-01,18271,3793,262361,"14,36"
2017-09-01,18539,3235,268193,"14,47"
2017-08-01,18563,3297,244981,"13,2"
2017-07-01,21448,3445,333570,"15,55"
2017-06-01,17599,2118,274587,"15,6"
2017-05-01,16782,2524,229232,"13,66"
2017-04-01,15523,1615,206671,"13,31"
2017-03-01,16281,2852,205495,"12,62"
2017-02-01,13564,3181,166652,"12,29"
2017-01-01,11910,2263,162010,"13,6"
2016-12-01,14858,2469,214591,"14,44"
2016-11-01,14295,2234,189954,"13,29"
2016-10-01,17499,2782,249557,"14,26"
2016-09-01,17117,3226,237920,"13,9"
2016-08-01,17719,3421,244852,"13,82"
2016-07-01,19517,3281,297084,"15,22"
2016-06-01,16758,2662,261113,"15,58"
2016-05-01,15738,2449,211457,"13,44"
2016-04-01,17042,4156,217247,"12,75"
2016-03-01,15168,2947,190134,"12,54"
2016-02-01,14444,3000,176401,"12,21"
2016-01-01,12340,3260,167045,"13,54"
2015-12-01,14364,1971,216343,"15,06"
2015-11-01,15681,2665,206718,"13,18"
2015-10-01,17561,4307,249204,"14,19"
2015-09-01,16927,2903,234527,"13,86"
2015-08-01,16463,2399,228306,"13,87"
2015-07-01,18060,2704,293880,"16,27"
2015-06-01,16223,2420,249892,"15,4"
2015-05-01,14832,1872,216752,"14,61"
2015-04-01,13956,2662,190663,"13,66"
2015-03-01,14472,3467,203332,"14,05"
2015-02-01,12949,3681,160841,"12,42"
2015-01-01,12343,5129,167762,"13,59"
2014-12-01,15169,4105,222770,"14,69"
2014-11-01,14646,3188,202977,"13,86"
2014-10-01,17546,5254,261314,"14,89"
2014-09-01,15500,2285,228835,"14,76"
2014-08-01,14603,1501,213219,"14,6"
2014-07-01,17656,1811,275515,"15,6"
2014-06-01,14650,1560,232460,"15,87"
2014-05-01,14853,2319,207243,"13,95"
2014-04-01,15737,4241,222729,"14,15"
2014-03-01,15410,4471,221322,"14,36"
2014-02-01,12410,3464,170996,"13,78"
2014-01-01,12422,4482,173400,"13,96"
2013-12-01,13832,2905,218127,"15,77"
2013-11-01,12953,2101,182538,"14,09"
2013-10-01,14576,1951,203169,"13,94"
2013-09-01,14175,1667,193764,"13,67"
2013-08-01,14655,1922,195812,"13,36"
2013-07-01,17289,2076,264263,"15,29"
2013-06-01,15120,1930,226755,15
2013-05-01,13534,1949,176481,"13,04"
2013-04-01,12011,2394,161081,"13,41"
2013-03-01,13897,2172,181606,"13,07"
2013-02-01,11177,2257,143304,"12,82"
2013-01-01,11174,3720,164223,"14,7"
2012-12-01,15262,2784,217413,"14,25"
2012-11-01,12470,776,175165,"14,05"
2012-10-01,15519,2061,217499,"14,02"
2012-09-01,15944,1817,210380,"13,19"
2012-08-01,16002,2011,215835,"13,49"
2012-07-01,16979,1882,254932,"15,01"
2012-06-01,14940,2228,233417,"15,62"
2012-05-01,13879,2165,182550,"13,15"
2012-04-01,13147,2334,177129,"13,47"
2012-03-01,13075,2006,182603,"13,97"
2012-02-01,11523,2259,156627,"13,59"
2012-01-01,10238,2973,153361,"14,98"
2011-12-01,14106,2693,221544,"15,71"
2011-11-01,13086,1434,182554,"13,95"
2011-10-01,14519,2016,202853,"13,97"
2011-09-01,14402,1801,189932,"13,19"
2011-08-01,15372,1873,201380,"13,1"
2011-07-01,16858,2231,258100,"15,31"
2011-06-01,14424,2125,212314,"14,72"
2011-05-01,12838,1651,170558,"13,29"
2011-04-01,12458,2242,170466,"13,68"
2011-03-01,12304,2447,166861,"13,56"
2011-02-01,11038,2272,146017,"13,23"
2011-01-01,11371,3559,157500,"13,85"
2010-12-01,13798,3025,216737,"15,71"
2010-11-01,12784,2170,166163,13
2010-10-01,16092,4098,227127,"14,11"
2010-09-01,15160,1750,193649,"12,77"
2010-08-01,15087,1809,194634,"12,9"
2010-07-01,17790,2256,263328,"14,8"
2010-06-01,12119,1777,193586,"15,97"
2010-05-01,11525,1045,154099,"13,37"
2010-04-01,10271,1543,136914,"13,33"
2010-03-01,10547,1546,150554,"14,27"
2010-02-01,9730,2200,127246,"13,08"
2010-01-01,9016,1485,142227,"15,77"
2009-12-01,12958,2659,192556,"14,86"
2009-11-01,12892,3292,177450,"13,76"
2009-10-01,15972,4382,219219,"13,73"
2009-09-01,14888,2296,195297,"13,12"
2009-08-01,15808,2445,198077,"12,53"
2009-07-01,16853,2361,251299,"14,91"
2009-06-01,13824,2463,201615,"14,58"
2009-05-01,13236,2353,178808,"13,51"
