Mois,Region,Pays,Nombre de touristes,Nombre de croisièristes,Nuitées touristiques,Durée de séjour moyenne
2025-09-01,Amérique Centrale,Amérique Centrale,188,34,1701.0,9
2025-09-01,Amérique du Nord,Canada,987,393,12824.0,13
2025-09-01,Amérique du Nord,États-Unis (y compris Hawaii),8266,2099,86510.0,"10,5"
2025-09-01,Amérique du Sud,Amérique du Sud,244,87,3219.0,"13,2"
2025-09-01,Asie,Asie,1090,62,10200.0,"9,4"
2025-09-01,Europe,Europe (hors France),5087,955,79375.0,"15,6"
2025-09-01,Europe,France,9400,894,234796.0,25
2025-09-01,Pacifique,Pacifique,2858,394,36689.0,"12,8"
2025-09-01,Autres Pays,Autres Pays,154,38,3028.0,"19,7"
2025-08-01,Amérique Centrale,Amérique Centrale,100,19,1783.0,"17,8"
2025-08-01,Amérique du Nord,Canada,626,205,9126.0,"14,6"
2025-08-01,Amérique du Nord,États-Unis (y compris Hawaii),7884,2357,82787.0,"10,5"
2025-08-01,Amérique du Sud,Amérique du Sud,151,29,2407.0,"15,9"
2025-08-01,Asie,Asie,489,84,4768.0,"9,8"
2025-08-01,Europe,Europe (hors France),5281,980,80280.0,"15,2"
2025-08-01,Europe,France,8400,992,200890.0,"23,9"
2025-08-01,Pacifique,Pacifique,2033,550,28871.0,"14,2"
2025-08-01,Autres Pays,Autres Pays,112,23,2337.0,"20,9"
2025-07-01,Amérique Centrale,Amérique Centrale,120,36,1266.0,"10,6"
2025-07-01,Amérique du Nord,Canada,684,171,10201.0,"14,9"
2025-07-01,Amérique du Nord,États-Unis (y compris Hawaii),9240,2309,93937.0,"10,2"
2025-07-01,Amérique du Sud,Amérique du Sud,226,24,3039.0,"13,4"
2025-07-01,Asie,Asie,621,178,5890.0,"9,5"
2025-07-01,Europe,Europe (hors France),4517,904,76225.0,"16,9"
2025-07-01,Europe,France,12525,1147,337753.0,27
2025-07-01,Pacifique,Pacifique,2932,583,37700.0,"12,9"
2025-07-01,Autres Pays,Autres Pays,125,38,2956.0,"23,6"
2025-06-01,Amérique Centrale,Amérique Centrale,72,13,930.0,"12,9"
2025-06-01,Amérique du Nord,Canada,557,121,9224.0,"16,6"
2025-06-01,Amérique du Nord,États-Unis (y compris Hawaii),11128,2209,114742.0,"10,3"
2025-06-01,Amérique du Sud,Amérique du Sud,170,26,3259.0,"19,2"
2025-06-01,Asie,Asie,655,40,7921.0,"12,1"
2025-06-01,Europe,Europe (hors France),2902,557,49640.0,"17,1"
2025-06-01,Europe,France,7862,680,224908.0,"28,6"
